id,link,content,start_time,end_time,programme_id,programme_date
"7LNxmXABegwEKATwYwvE","https://www.rtve.es/v/5527179/?t=00h44m46s","Su longevidad en la élite, en su posición, también significa liderar otras estadísticas como el número de expulsiones, 5 en un clásico.",2686,2691,5527179,"2020-03-01T15:00:00+00:00"
"pbMlj3ABegwEKATwBQOu","https://www.rtve.es/v/5526555/?t=00h20m38s","La mayoría son personas mayores, las más vulnerables, por las patologías que ya padecen y que, al empeorar con el virus, comprometen su supervivencia.",1238,1242,5526555,"2020-02-28T21:00:00+00:00"
"q7Mlj3ABegwEKATwBQPU","https://www.rtve.es/v/5526555/?t=00h21m26s","Italia es uno de los paises mas envejecidos del mundo.",1286,1290,5526555,"2020-02-28T21:00:00+00:00"
"HOWLenABTetNpVUiU_nQ","https://www.rtve.es/v/5522098/?t=00h29m42s","Los que más la padecen son personas mayores de 60 años con insuficiencia cardíaca, ocho de cada 10 ingresados falleció durante los episodios de calima.",1782,1783,5522098,"2020-02-24T15:00:00+00:00"
"8-U-cHABTetNpVUiL_GK","https://www.rtve.es/v/5520737/?t=00h03m13s","Viven en Beariz, en Ourense, un pueblo y una provincia que figuran entre los más longevos de Europa, en el Telediario les contamos el secreto.",193,197,5520737,"2020-02-22T15:00:00+00:00"
"rOU-cHABTetNpVUiMfLY","https://www.rtve.es/v/5520737/?t=00h30m13s","Si bien, el gobierno de Cantabria ha redactado ya un Real Decreto mucho más restrictivo, que incide, sobre todo, en el control de derecho de admisión de estas salas, pero que será ya para lo sucesivo. salas Ourense es la provincia más envejecida de España y la tercera zona de Europa.",1813,1817,5520737,"2020-02-22T15:00:00+00:00"
"reU-cHABTetNpVUiMfLa","https://www.rtve.es/v/5520737/?t=00h30m29s","Según los expertos, en 20 años, se convertirá en la más longeva del mundo.",1829,1832,5520737,"2020-02-22T15:00:00+00:00"
"teU-cHABTetNpVUiMfLy","https://www.rtve.es/v/5520737/?t=00h31m11s","Beariz es un ayuntamiento de menos de mil habitantes de Ourense, la provincia más envejecida de España y la tercera de Europa.",1871,1875,5520737,"2020-02-22T15:00:00+00:00"
"tuU-cHABTetNpVUiMfL1","https://www.rtve.es/v/5520737/?t=00h31m17s","Según los indicadores de proyección demográfica este territorio dentro de 20 años será el más longevo del mundo Los ancianos de las zonas rurales de Ourense viven muchos años con calidad de vida por la falta de estrés, la alimentación y la actividad física que realizan.",1877,1881,5520737,"2020-02-22T15:00:00+00:00"
"FeUZa3ABTetNpVUiofCb","https://www.rtve.es/v/5520201/?t=00h33m11s","-Se va envejeciendo y empobreciendo.",1991,1994,5520201,"2020-02-21T21:00:00+00:00"
"NOUZa3ABTetNpVUiovAM","https://www.rtve.es/v/5520201/?t=00h35m33s","En su conjunto, la provincia de León está cada vez más envejecida y vaciada Si nos fijamos en los habitantes de la provincia, vemos que en los últimos años la población ha bajado en casi 40 mil personas.",2133,2137,5520201,"2020-02-21T21:00:00+00:00"
"TeUZa3ABTetNpVUiovBk","https://www.rtve.es/v/5520201/?t=00h38m08s","La falta de oportunidades expulsa a los jóvenes y la poblacion envejece.",2288,2293,5520201,"2020-02-21T21:00:00+00:00"
"FsgXX3ABTetNpVUiJoge","https://www.rtve.es/v/5516046/?t=00h28m58s","Y es que el COVID 19 sigue siendo un virus muy contagioso, con más riesgo de muerte para las personas mayores, pero con una tasa de mortalidad más baja que otros coronavirus, según un estudio publicado por China y recogido por la Organización Mundial de la Salud.",1738,1741,5516046,"2020-02-18T15:00:00+00:00"
"MjMqUnABaHdDzgWjwE4o","http://www.rtve.es/v/5513250/?t=00h26m19s","Las personas mayores, creían que firmaban un recibí por recibir cualquier material sanitario, por ejemplo, una muleta.",1579,1583,5513250,"2020-02-15T15:00:00+00:00"
"F2oOR3AB51Iw4nTHAiaG","http://www.rtve.es/v/5512527/?t=00h43m04s","- Sonaba desde ejemplo, San el secreto para una longeva historia. tratar de comprenderse al otro, o decirse muchas veces te quiero.",2584,2588,5512527,"2020-02-14T15:00:00+00:00"
"42q_PHAB51Iw4nTH2xvy","http://www.rtve.es/v/5509303/?t=00h01m13s","Supone el ahorro de personas mayores.",73,77,5509303,"2020-02-11T21:00:00+00:00"
"G2q_PHAB51Iw4nTH3hxv","http://www.rtve.es/v/5509303/?t=00h09m49s","""Supone ahorros para el coste de las personas mayores, de los más frágiles, de los más vulnerables.",589,592,5509303,"2020-02-11T21:00:00+00:00"
"sWolOHAB51Iw4nTH-BjM","http://www.rtve.es/v/5508918/?t=00h14m58s","Detrás hay una filosofía de la izquierda para evitar un coste social que tiene el envejecimiento en nuestro país por la vía del recorte de prestaciones, del recorte de derechos sociales, del recorte de ayudas ciudadanos, que, en principio sí apoyará en proposición de ley, ha presentado otra de cuidados paliativos que dicen, es complementaria.",898,903,5508918,"2020-02-11T15:00:00+00:00"
"_nBxNXABMoo45oY7cTsP","http://www.rtve.es/v/5505830/?t=00h35m05s","Con la ley del 2.005 lo que se busco fue que garantizar el derecho de todas las personas mayores de 18 años que nacieron fruto de la donación de semen o de óvulos a conocer quienes son sus padres biológicos, pero sin embargo esto no les permite solicitar ningún tipo de compensación económica.",2105,2108,5505830,"2020-02-07T21:00:00+00:00"
"MHBxNXABMoo45oY76k_w","http://www.rtve.es/v/5504240/?t=00h43m34s","Es lo que tiene irse longevo, que las nuevas generaciones.",2614,2619,5504240,"2020-02-06T15:00:00+00:00"
"bXBxNXABMoo45oY7j0SP","http://www.rtve.es/v/5499265/?t=00h27m17s","Jesús Gil lidera la lucha contra el envejecimiento celular en el principal centro de investigación biomédica de Londres.",1637,1641,5499265,"2020-02-01T15:00:00+00:00"
"pHATNXABMoo45oY75C-8","http://www.rtve.es/v/5498583/?t=00h38m39s","Sanidad insiste, 40 y 2% de los casos se detectan en personas mayores.",2319,2321,5498583,"2020-01-31T15:00:00+00:00"
