id,stopwordcc,freq
0,proyecto,64
1,actividad,57
5,investigación,41
6,divulgación,39
7,actividades,38
8,actividad, 
9,actividades, 
10,científico, 
11,científica,
12,proyectos, 
13,desarrollo, 
14,diferentes, 
15,pretende, 
16,ello, 
17,cómo, 
18,centros, 
19,divulgación,  
9,general,32
10,centros,32
11,científicas,31
12,pretende,30
14,diferentes,27
15,través,27
16,desarrollo,24
19,objetivo,22
20,divulgación 
21,científica,21
21,cómo,21
24,instituto,20
25,do,19
26,forma,19
28,conocer,18
29,propuesta,18
30,ello,18
33,cabo,18
34,persona,18
35,dar,17
36,dar 
37,conocer,17
37,ser,17
38,además,17
39,acercar,17
40,formato,17
42,así,16
44,serie,16
47,años,16
56,trabajo,14
57,trata,14
59,mediante,14
60,manera,14
61,grupo,13
62,difusión,13
66,importancia,12
67,gran,12
68,cuenta,12
69,equipo,12
70,temas,12
72,interés,12
73,llevar,12
74,conceptos,12
77,debate,12
78,tema,11
80,objetivos,11
82,institutos,11
83,temática,11
85,proponemos,10
86,presente,10
87,primera,10
89,dirigida,10
90,propone,10
94,evento,10
97,edades,10
98,despertar,10
99,impulsar, 
100,divulgar, 
101,aprender, 
102,principado, 
103,concurrido, 
104,porque, 
105,csic, 
106,ciencia, 
107,centro, 
108,científicos, 
109,conocimiento, 
110,mundo, 
111,aspectos, 
112,aspecto, 
113,día, 
114,proceso, 
115,tipo, 
116,parte, 
117,consiste, 
118,público, 
119,participantes, 
120,cada, 
121,iniciativa, 
122,ciencias, 
123,dentro, 
124,sistema, 
125,sistemas, 
126,nacional, 
127,iniciativa, 
128,investigadores, 
129,programa, 
130,programas, 
140,contenido, 
150,colaboración, 
151,resultado, 
152,prueba, 
153,participación, 
154,ámbito, 
155,idea, 
156,ideas, 
157,divulgativo, 
158,resultados, 
159,toda, 
160,base, 
161,realizar, 
162,capaz, 
163,realización, 
164,largo, 
165,nueva, 
166,nuevo, 
167,nuevas, 
168,nuevos, 
169,objeto, 
170,objetos, 
171,envejecimiento,
172,longevidad,
173,mayores,
174,envejecer,
175,según,
176,mayor,
177,puede,
178,número,
179,tres,
180,provoca,
181,causa,
182,hacer,
183,año,
184,hace,
185,debido,
186,longevo,
187,población,
188,españa,
189,vez,
190,hoy,
191,ahora,
192,menos,
193,envejecida,
194,si,
195,millones,
196,mayoría,
197,mejor,
198,pueden,
199,puede,
200,longeva
201,envejecido,
202,país,
203,envejece,
204,dice,
205,mucha,
206,envejecen,
207,casi,
208,mil,
209,dejan,
210,aquí,
211,depende
212,dice,
213,mucha,
214,muchas,
215,casi,
216,dicen,
217,sino,
218,van,
219,dato,
220,ver,
221,ejemplo,
222,hacen,
223,hace,
224,longevos,
225,después,
226,datos,
227,importante,
228,entonce,
229,caso,
230,cuatro,
231,mismo,
232,decir,
233,tener,
234,algún,
235,medida,
236,hora,
237,supone,
238,afecta,
239,último,
240,ultimo,
241,va,
242,aunque,
243,ma,
244,sido,
245,viendo,
246,tendencia,
247,mientras,
248,hecho,
249,bien,
250,sabe,
251,clave,
252,llegar,
253,pasa,
254,para,
255,asegura,
256,entonces,
257,detrás,
258,creo,
259,viven,
260,momento,
261,seguir,
262,podría,
263,pues
264,paso,
265,cosas,
266,cosa,
267,llevan,
268,lleva,
269,tras,
270,trás,
271,junto,
272,zona,
273,siendo,
274,junto,
275,persona,
276,personas,
277,sigue,
278,gente,
279,edad,
280,visto,
281,especialmente
